Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-03-12,4003.008056640625,4039.006431158572,3935.021902315305,3936.2634988875275,4039801
2024-03-13,3961.71044921875,4049.5574873793007,3945.382265182253,4015.182559403433,2837260
2024-03-14,4017.6650390625,4034.279493313636,3901.5540851312467,3965.959514662423,2919608
2024-03-15,4028.789306640625,4047.6477740948294,3988.4465091753013,4003.342404564304,3373143
2024-03-18,3965.052490234375,4062.686835117329,3931.9667150207774,4024.969899930271,1526904
2024-03-19,3797.760986328125,3874.8180658535766,3787.544041009118,3868.3727671979555,8931209
2024-03-20,3791.64990234375,3836.6238591471674,3781.43295661012,3806.068367984223,1817913
2024-03-21,3793.607421875,3827.457130409854,3769.783733909053,3809.9356057637506,3829582
2024-03-22,3734.3583984375,3760.235173555279,3680.9818674595226,3721.0859500621946,5852485
2024-03-26,3702.46630859375,3768.5425143371926,3696.6893641833103,3700.079160748106,3440925
2024-03-27,3667.5185546875,3719.1765299040967,3656.537674047218,3712.969945194372,1968575
2024-03-28,3701.320068359375,3738.2730658344526,3667.1360687962233,3676.302808642389,4311783
2024-04-01,3739.9443359375,3755.747300480612,3712.5399267137973,3721.754223672464,1569676
2024-04-02,3708.481689453125,3733.3558147618187,3698.1691649099557,3714.401769042016,2142666
2024-04-03,3769.115478515625,3801.294184470559,3677.162497964361,3677.162497964361,3973090
2024-04-04,3822.58740234375,3846.7929401546,3757.6091953129244,3796.4241236746416,3394637
2024-04-05,3799.623291015625,3821.346336783196,3781.7196818665284,3798.429717072352,1636819
2024-04-08,3793.2255859375,3850.612478302472,3781.242057540255,3803.2038169653624,2302538
2024-04-09,3768.399169921875,3834.5709511607815,3747.8696995867963,3804.158596044347,1876992
2024-04-10,3804.779296875,3810.0788116116587,3741.1380298148547,3777.804526751909,2101965
2024-04-12,3820.77294921875,3832.183701481011,3767.396421015741,3791.745327044356,4354821
2024-04-15,3763.290283203125,3880.7379414211127,3742.140249381738,3820.7727489752706,4200329
2024-04-16,3697.978271484375,3751.354800517377,3688.477470314158,3725.8601098443683,3051420
2024-04-18,3687.66552734375,3758.3250946724493,3676.207219128285,3701.7974874334654,3476284
2024-04-19,3653.48193359375,3678.6425647588976,3629.323951132775,3664.749317880835,2957749
2024-04-22,3690.148681640625,3702.943700715921,3639.9229982282336,3663.794476443267,1728883
2024-04-23,3699.792724609375,3719.1764120974335,3686.329350383613,3702.036736873624,1807586
2024-04-24,3658.11279296875,3722.040559442431,3651.810630020355,3714.40168707826,1317312
2024-04-25,3678.308349609375,3698.790031633752,3638.968199482198,3639.1591246871053,2856271
2024-04-26,3648.850830078125,3701.797719316403,3630.8994327921014,3681.124880410782,2039178
2024-04-29,3695.49560546875,3702.7526278045857,3646.7977918527276,3664.7491893782994,1110693
2024-04-30,3648.18212890625,3706.524109993609,3638.0129732918526,3697.2142342745547,2203078
2024-05-02,3688.906982421875,3696.354929571108,3607.5052491169877,3607.5052491169877,2491044
2024-05-03,3669.9052734375,3717.8393854700757,3626.1729143242665,3714.5449351673606,2962234
2024-05-06,3744.050537109375,3762.0972818946348,3679.0723249742337,3679.0723249742337,2053831
2024-05-07,3799.336181640625,3807.9777022378325,3736.840706546579,3753.359813914966,2062112
2024-05-08,3797.427001953125,3804.4453098648482,3760.8082938855846,3782.1970453271774,1247685
2024-05-09,3781.4326171875,3791.7451411533175,3733.546530926803,3783.1514100351155,1726486
2024-05-10,3718.125732421875,3794.2281887002428,3709.675369312951,3783.724738667533,1672489
